肢体肌肉无力,symptom1
智能障碍,symptom2
缺血,symptom3
甲癣,symptom4
糖尿,symptom5
孤独感,symptom6
易怒,symptom7
挫败感,symptom8
无症状心肌梗死,symptom9
疼痛,symptom10
跌倒,symptom11
多虑,symptom12
情绪反应,symptom13
多尿,symptom14
水肿,symptom15
糖代谢水平异常,symptom16
夜尿多,symptom17
内疚感,symptom18
情绪障碍,symptom19
营养负平衡,symptom20
不良妊娠,symptom21
失明,symptom22
乏力,symptom23
创面,symptom24
心悸,symptom25
尿糖,symptom26
多食,symptom27
沮丧,symptom28
小动脉粥样硬化,symptom29
高血糖渗透性利尿,symptom30
致残,symptom31
代谢异常,symptom32
足部皮肤破损,symptom33
低血糖事件,symptom34
管腔狭窄或闭塞,symptom35
微障碍,symptom36
足踝以下部位的感染,symptom37
再狭窄,symptom38
创面感染,symptom39
足癣,symptom40
足溃疡,symptom41
微循环障碍,symptom42
体重下降,symptom43
血容量减少,symptom44
萎缩,symptom45
多饮,symptom46
下肢缺血,symptom47
